序号,景点,url
1,秦始皇帝陵博物院(兵马俑),https://you.ctrip.com/sight/xian7/1444.html
2,华山,https://you.ctrip.com/sight/huayin476/136698.html
3,西安城墙,https://you.ctrip.com/sight/xian7/1449.html
4,《长恨歌》演出,https://you.ctrip.com/sight/xian7/136558.html
5,陕西历史博物馆,https://you.ctrip.com/sight/xian7/1446.html
6,大唐芙蓉园,https://you.ctrip.com/sight/xian7/26184.html
