序号,景点,url
1,大召寺,https://you.ctrip.com/sight/hohhot156/8950.html
2,内蒙古博物院,https://you.ctrip.com/sight/hohhot156/8960.html
3,塞上老街,https://you.ctrip.com/sight/hohhot156/1708602.html
4,马鬃山滑雪场,https://you.ctrip.com/sight/hohhot156/5719348.html
5,伊斯兰商街,https://you.ctrip.com/sight/hohhot156/66700.html
6,黄河大峡谷•老牛湾旅游区,https://you.ctrip.com/sight/qingshuihe1446364/1708506.html
