序号,景点,url
1,避暑山庄,https://you.ctrip.com/sight/chengde135/5413.html
2,木兰围场,https://you.ctrip.com/sight/weichang2584/5399.html
3,普陀宗乘之庙,https://you.ctrip.com/sight/chengde135/5355.html
4,普宁寺,https://you.ctrip.com/sight/chengde135/5353.html
5,塞罕坝国家森林公园,https://you.ctrip.com/sight/chengde135/109983.html
6,鼎盛王朝康熙大典实景演出,https://you.ctrip.com/sight/chengde135/138552.html
