序号,景点,url
1,中国雪乡,https://you.ctrip.com/sight/hailin2240/25264.html
2,镜泊湖风景区,https://you.ctrip.com/sight/ningan2233/17415.html
3,横道河子东北虎林园,https://you.ctrip.com/sight/hailin2240/1409669.html
4,雪乡大雪谷,https://you.ctrip.com/sight/hailin2240/1486040.html
5,大秃顶子山,https://you.ctrip.com/sight/hailin2240/1485979.html
6,火山口国家森林公园,https://you.ctrip.com/sight/mudanjiang264/4560182.html
