序号,景点,url
1,哈尔滨冰雪大世界,https://you.ctrip.com/sight/harbin151/20017.html
2,圣索菲亚大教堂,https://you.ctrip.com/sight/harbin151/7705.html
3,中央大街,https://you.ctrip.com/sight/harbin151/7712.html
4,哈尔滨极地公园·极地馆,https://you.ctrip.com/sight/harbin151/106021661.html
5,东北虎林园,https://you.ctrip.com/sight/harbin151/7707.html
6,极地旅游度假区,https://you.ctrip.com/sight/harbin151/106022509.html
